实际抵达日期,产品描述,收货人,收货人地址,发货人,发货人地址,通知人,承运人,原产国,海外装货港,目的港,目的国,启运国,产品件数/拼箱货柜,数量单位,TEU,千克重/拼箱货柜,千克重/件,尺寸,货运收货人,货柜号,卸货港,卸货港所在州,装运标志及编号,产品海关编码,货柜运输类型,支线承运人收货地,货运托运人,双抬头托运人,货柜个数/船东提单,收货人所在州
2023-12-29,"19 PALS OF SILICONE 4521 K 3 2 PALS OF RUBBER 17280,1 K",SEA CARGO LOGISTICS S.A.DE C.V.,CALLE LEIBNITZ 117 OFICINA401 ANZURESMIGUEL HIDALGO 525552317141,ERHARDT TRANSITARIOS S.L.,AVDA DE LA CANADA 64-66 MODULO H28823 COSLADA MADRIDTEL 916690102 34916690102,SEA CARGO LOGISTICS SA DE CV,MAEU-MAERSK LINE,SPAIN,ALGECIRAS,MIAMI,OTHER COUNTRY,SPAIN,51,PKG,2.0,23206.4,455.03,4000*906*802,None,MNBU0190331,MIAMI,FLORIDA,NO MARKS,0,FCL,BERRIATUA,MAERSK LINE,TRANSHIPMENT,4,None
2023-12-29,- SKIU2936320 DESCRIPTION- METHYL HYDROGEN SILICONE FLUID RJ-202 PO NO. : 4500575027 HS CODE : 391000 TEL : (86)021-63293572 FAX : (86)021-63293526EMAIL : INFO CENTRANSUSA.COM EMAIL : INFO CENTRANSUSA.COM SHIPPERS OWNED CONTAINER -GENERIC DESCRIPTION-,RUICHEM USA INC.,"NY OFFICE : 99 WALL STREET,SUITE 2866 NEW YORK, NY 10005,TEL : +1 978 992 1811 TE NEW YORK, NY","HANGZHOU RUIJIANG CHEMICAL CO.,LTD.","FLOOR 12TH,NO.99,HUAXING ROAD,HANGZHOU ZHEJIANG CHINATEL : 8657188914509 TE HANGZHOU","RUICHEM USA,INC.",CMDU-CMA-CGM,CHINA,SHANG HAI,SAVANNAH,UNITED STATES,CHINA,18,BUL,1.0,19044.0,1058.0,2000*900*800,AMERICA PAK AGENCY INC.,SKIU2936320,SAVANNAH,GEORGIA,NO MARKS,391000,FCL,SHANGHAI,AMERICA PAK AGENCY INC.,TRANSHIPMENT,1,NEW YORK
2023-12-29,SILICONE RUBBER TY4366-40 PO 4526330996 WOOD PACKAGING MATERIAL,HEXPOL SILICONE COMPOUNDING,"1497 EXETER ROAD,AKRON,OHIO 44306,US","WYNCA TINYO SILICONE CO.,LTD.","NO. 36, JINGLING ROAD, QINGYUAN HIGH-TECH ZONE,QINGYUAN,CN",None,MLIL-MAXWIDE LOGISTICS INC,CHINA,YANTIAN,LONG BEACH,UNITED STATES,CHINA,960,CTN,1.0,20359.97,21.21,2000*806*802,"INTERTRANS EXPRESS,INC.",MEDU6140960,LONG BEACH,CALIFORNIA,NO MARKS,0,FCL,YANTIAN,MAXWIDE LOGISTICS INC.,TRANSHIPMENT,1,OHIO
2023-12-29,"1 PAL OF SILICONE GW 325,5 KGS 42 PALS OF RUBBER GW 20738 KG",SEA CARGO LOGISTICS S.A.DE C.V.,CALLE LEIBNITZ 117 OFICINA401 ANZURESMIGUEL HIDALGO 525552317141,ERHARDT TRANSITARIOS S.L.,AVDA DE LA CANADA 64-66 MODULO H28823 COSLADA MADRIDTEL 916690102 34916690102,SEA CARGO LOGISTICS SA DE CV,MAEU-MAERSK LINE,SPAIN,ALGECIRAS,MIAMI,OTHER COUNTRY,SPAIN,43,PKG,2.0,19566.18,455.03,4000*906*802,None,MNBU3988325,MIAMI,FLORIDA,NO MARKS,0,FCL,BERRIATUA,MAERSK LINE,TRANSHIPMENT,4,None
2023-12-29,SILICONE OIL,COULSTON,700 NORTH JOHNSON STREET MONROE NC 28110 US,CHANGZHOU JUYOU NEW MATERIAL TECH C,"SHENLONG PLAZA,HUAIDE MIDDLERD NO.50, CHANGZHOU CN",None,SMMB-SEAMASTER LOGISTICS INC,CHINA,SHANG HAI,CHARLESTON,UNITED STATES,CHINA,18,PKG,1.0,18709.0,1039.39,2000*806*800,None,OOLU1982300,CHARLESTON,SOUTH CAROLINA,NO MARKS,0,FCL,SHANGHAI,ORIENT OVERSEAS CONTAINER LINE LTD,TRANSHIPMENT,1,NORTH CAROLINA
2023-12-29,SILICONE RUBBER H7140,ELASTAPRO SILICONE SHEETING,"13937 ROSECRANS AVE, SANTA FE SPRINGS, CA 90670 UN,SANTA FE SPRINGS, CALIFORNIA,US",INNER MONGOLIA SUCON SILICONE CO.,"ADDRESS : WUDA ECONOMIC DEVELOPMENTZONE OF WUHAICITY INNER MONGOLIA, P.R.C.,INNER MONGOLIA,CN",None,YCLC,CHINA,NING BO,LONG BEACH,UNITED STATES,CHINA,1000,CTN,1.0,20500.0,20.5,2000*806*802,SOONEST EXPRESS INC.,SUDU7833498,LONG BEACH,CALIFORNIA,NO MARKS,0,FCL,NINGBO,QINGDAO YONGTAI-ALLY INTERNATIONAL,TRANSHIPMENT,1,CALIFORNIA
2023-12-29,6 PALS OF SILICONE GW 2010 KGS 40 PALS OF RUBBER GW 19294. 2 KGS,SEA CARGO LOGISTICS S.A.DE C.V.,CALLE LEIBNITZ 117 OFICINA401 ANZURESMIGUEL HIDALGO 525552317141,ERHARDT TRANSITARIOS S.L.,AVDA DE LA CANADA 64-66 MODULO H28823 COSLADA MADRIDTEL 916690102 34916690102,SEA CARGO LOGISTICS SA DE CV,MAEU-MAERSK LINE,SPAIN,ALGECIRAS,MIAMI,OTHER COUNTRY,SPAIN,46,PKG,2.0,20931.26,455.03,4000*906*802,None,MNBU3969958,MIAMI,FLORIDA,NO MARKS,0,FCL,BERRIATUA,MAERSK LINE,TRANSHIPMENT,4,None
2023-12-29,6 PALS OF SILICONE GW 1234 KGS 43 PALS OF RUBBER GW 20597. 9 K,SEA CARGO LOGISTICS S.A.DE C.V.,CALLE LEIBNITZ 117 OFICINA401 ANZURESMIGUEL HIDALGO 525552317141,ERHARDT TRANSITARIOS S.L.,AVDA DE LA CANADA 64-66 MODULO H28823 COSLADA MADRIDTEL 916690102 34916690102,SEA CARGO LOGISTICS SA DE CV,MAEU-MAERSK LINE,SPAIN,ALGECIRAS,MIAMI,OTHER COUNTRY,SPAIN,49,PKG,2.0,22296.35,455.03,4000*906*802,None,MNBU3798557,MIAMI,FLORIDA,NO MARKS,0,FCL,BERRIATUA,MAERSK LINE,TRANSHIPMENT,4,None
2023-12-29,SILANOL TERMINATED VINYLMETHYL SILICONE FLUID ZX-207V-10 HTS : 391000,DOW SILICONES CORPORATION,"DOW SILICONES CORPORATION2651 SALZBURG RD- BLDG 207 DETROIT,MI US",ZHEJIANG ZHENGHE SILICONE MATERIAL ZHEJIANG ZHENGHE SILICONE MATERIALCO. LTD.,SHANGHAI CN,DSV AIR & SE-DTW),SMWJ,CHINA,SHANG HAI,LONG BEACH,UNITED STATES,CHINA,16,DR,1.0,16112.0,1007.0,2000*800*800,MILKYWAY INTERNATIONAL CHEMICAL SUP,TCKU2158296,LONG BEACH,CALIFORNIA,NO MARKS,391000,FCL,SHANGHAI,SHANGHAI MILKYWAY CHEMICAL LOGISTIC,TRANSHIPMENT,1,COLORADO
2023-12-28,METHYL HYDROGEN SILICONE FLUID RJ-202 PO NO. : 4500574296 HS CODE : 391000 METHYL HYDROGEN SI LICONE FLUID RJ-202 PO NO. : 4500574297 HS COD E : 391000 SILICONE SURFACTANT RJ-7221A HS CODE 340242,RUICHEM USA INC.,"99 WALL STREET, SUITE 2866, NEW YORK, NY 10005, USA.","HANGZHOU RUIJIANG CHEMICAL CO.,LTD.","FLOOR 12TH,NO.99,HUAXING ROAD,HANGZHOU ZHEJIANG CHINA.","RUICHEM USA,INC.",TXSL,CHINA,SHANG HAI,SAVANNAH,UNITED STATES,CHINA,18,PKG,1.0,16291.64,905.09,2000*806*802,None,MRKU9469327,SAVANNAH,GEORGIA,NO MARKS,391000;340242,FCL,SHANGHAI,MAERSK LINE,TRANSHIPMENT,2,NEW YORK
2023-12-28,METHYL HYDROGEN SILICONE FLUID RJ-202 PO NO. : 4500574296 HS CODE : 391000 METHYL HYDROGEN SI LICONE FLUID RJ-202 PO NO. : 4500574297 HS COD E : 391000 SILICONE SURFACTANT RJ-7221A HS CODE 340242,RUICHEM USA INC.,"99 WALL STREET, SUITE 2866, NEW YORK, NY 10005, USA.","HANGZHOU RUIJIANG CHEMICAL CO.,LTD.","FLOOR 12TH,NO.99,HUAXING ROAD,HANGZHOU ZHEJIANG CHINA.","RUICHEM USA,INC.",TXSL,CHINA,SHANG HAI,SAVANNAH,UNITED STATES,CHINA,26,PKG,1.0,23532.36,905.09,2000*806*802,None,MSKU5903951,SAVANNAH,GEORGIA,NO MARKS,391000;340242,FCL,SHANGHAI,MAERSK LINE,TRANSHIPMENT,2,NEW YORK
2023-12-28,RUBBER/SILICONE HTS :,BROKERS LOGISTICS,1000 HAWKINSEL PASO TX 79915 US,CIRCUITRONIX (HONG KONG) LIMITED,"UNIT 522-523, KAM HON INDUSTRIALBUILDING, 8 WANG KWUN ROADKOWLOON BAY, KOWLOON HK",None,EXDO-EXPEDITORS INTERNATIONAL OF WASHINGTON INC,HONG KONG(CN),HONG KONG,LONG BEACH,UNITED STATES,HONG KONG(CN),160,CTN,0.23,2263.01,14.14,4000*900*800,None,TRHU4508154,LONG BEACH,CALIFORNIA,AS PER ATTACHED SHEET,0,LCL,HONG KONG,CHINA OCEAN SHIPPING COMPANY,TRANSHIPMENT,1,TEXAS
2023-12-28,SILICONE RUBBER KEYPAD,GRAYHILL INC.,4800 VERNON AVE MCCOOK IL 60525 US,TA YANG SILICONE RUBBER INDUSTRIAL,"22/F, H CODE,45 POTTINGER STREET,CENTRAL HONG KONG HK 1",None,UASI-UPS ASIA GROUP PTE LTD,HONG KONG(CN),HONG KONG,LONG BEACH,UNITED STATES,HONG KONG(CN),25,CTN,0.05,262.0,10.48,4000*900*800,None,OOCU6870396,LONG BEACH,CALIFORNIA,GRAYHILL IN DIAM CNO.3559 MADE IN CHINA,0,LCL,"HONG KONG,HK",CHINA OCEAN SHIPPING COMPANY,TRANSHIPMENT,1,ILLINOIS
2023-12-28,"BELEM.RODRIQUEZ CARRIER.COM PAOLAJANETH.TORRES1 CARRIER.COM FREIGHT PREPAID BRB SILICONE OIL HY 43, IBC 1000 KG, 10 PCS HS CODE : 39100000 TOTAL NETT WEIGHT : 10.000,00 KG TOTAL GROSS WEIGHT : 10.630,00 KG",HASTA MEX S.A.DE C.V.,CALLE RAMON LOPEZ VELARDE 3308COL LIBERTADVICTORIA TAMAULIPAS 87019 TE MEXICO,BRB INTERNATIONAL B.V.,BRANSKAMP 126014 CB ITTERVOORTTHE NETHERLANDS TE TEL : 31-475-560300,HASTA-MEX S.A. DE C.V.,CMDU-CMA-CGM,NETHERLANDS,ROTTERDAM,CHARLESTON,MEXICO,NETHERLANDS,10,BUL,1.0,12830.0,1283.0,2000*806*800,None,TEMU2038145,CHARLESTON,SOUTH CAROLINA,SLO-324000,39100000,FCL,ROTTERDAM,CMA-CGM,TRANSHIPMENT,1,None
2023-12-28,"SILICONE SLEEVE RUBBER PLUGS 1 896 000 PIECES NET WEIGHT 1 663,2 KG",AUSTIN STAR DETONATOR COMPANY,"901 CANTU ROADBROWNSVILLE, TEXAS 78520, USA",AUSTIN DETONATOR S.R.O.,JASENICE 712755 01 VSETNCZECH REPUBLIC,AUSTIN STAR DETONATOR COMPANY,HLCU-HAPAG LLOYD A G,GERMANY,STADE/STADERSAND/HAMBURG,HOUSTON,UNITED STATES,GERMANY,120,PCS,0.12,943.78,7.86,4000*900*800,None,HLBU1316370,HOUSTON,TEXAS,NO MARKS,0,FCL,"HAMBURG, DE",HAPAG LLOYD A G,TRANSHIPMENT,1,TEXAS
2023-12-28,XIAMETER(TM) PMX-200 SILICONE FLUID 2 CST850 KG IBC,DOW SILICONES CORPORATION PLANT,H178 700 OMEGA PARKWAYSHEPHERDSVILLE KY 40165-8515UNITED STATES,DOW EUROPE GMBH C O DSV LOGISTICS,RUE ZENOBE GRAMME FAMILLEUREUX7181 BELGIUM,DSV AIR & SEA INC. - I902 27651,HLCU-HAPAG LLOYD A G,BELGIUM,ANTWERP/ANVERS,LOUISVILLE,UNITED STATES,BELGIUM,5,PCS,0.13,905.2,181.04,4000*900*800,None,HLBU9419857,NORFOLK,VIRGINIA,DOW CORNING CORPORATION PLANT H178 270 OMEGA PKY STE 200 SHEPHERDSVILL E KY 40165-8515 LOUISVILLE AIRPORT DOW CORNING CORPORATION PLANT H178 270 OMEGA PKY STE 200 SHEPHERDSVILL E KY 40165-8515 LOUISVILLE AIRPORT,0,FCL,"ANTWERP, BE",HAPAG LLOYD A G,CARE OF,1,KENTUCKY
2023-12-28,XIAMETER(TM) PMX-200 SILICONE FLUID 2 CST850 KG IBC,DOW SILICONES CORPORATION PLANT,H178 700 OMEGA PARKWAYSHEPHERDSVILLE KY 40165-8515UNITED STATES,DOW EUROPE GMBH C O DSV LOGISTICS,RUE ZENOBE GRAMME FAMILLEUREUX7181 BELGIUM,DSV AIR & SEA INC. - I902 27651,HLCU-HAPAG LLOYD A G,BELGIUM,ANTWERP/ANVERS,LOUISVILLE,UNITED STATES,BELGIUM,8,PCS,0.21,1448.32,181.04,4000*900*800,None,HLBU9419857,NORFOLK,VIRGINIA,DOW CORNING CORPORATION PLANT H178 270 OMEGA PKY STE 200 SHEPHERDSVILL E KY 40165-8515 LOUISVILLE AIRPORT DOW CORNING CORPORATION PLANT H178 270 OMEGA PKY STE 200 SHEPHERDSVILL E KY 40165-8515 LOUISVILLE AIRPORT,0,FCL,"ANTWERP, BE",HAPAG LLOYD A G,CARE OF,1,KENTUCKY
2023-12-28,XIAMETER(TM) PMX-200 SILICONE FLUID 2 CST850 KG IBC,DOW SILICONES CORPORATION,PLANT H178700 OMEGA PARKWAYSHEPHERDSVILLE KY 40165-8515UNITED STATES TAX ID 38-0495575,DOW EUROPE GMBH C O DSV LOGISTICS,RUE ZENOBE GRAMME FAMILLEUREUX7181 BELGIUM,None,HLCU-HAPAG LLOYD A G,BELGIUM,ANTWERP/ANVERS,LOUISVILLE,UNITED STATES,BELGIUM,8,PCS,0.67,5541.33,692.67,2000*806*800,None,HLBU9462684,NORFOLK,VIRGINIA,DOW CORNING CORPORATION PLANT H178 270 OMEGA PKY STE 200 SHE PHERDSVIL LE KY 40165-8515 LOUI SVILLE AIRPOR T SVILLE AIRPORT DOW CORNING CORPORATION PLANT H178 270 OMEGA PKY STE 200 SHE PHERDSVIL LE KY 40165-8515 LOUI SVILLE AIRPOR T SVILLE AIRPORT,0,FCL,"ANTWERP, BE",HAPAG LLOYD A G,CARE OF,1,KENTUCKY
2023-12-28,SILICONE OIL,GOULSTON,"700 NORTH JOHNSON STREET MONROE. NC28110, USA TE PHONE704-289-6464","CHANGZHOU JUYOU NEW MATERIAL TECH CO.,LTD.","SHENLONG PLAZA,HUAIDE MIDDLE RD NO.,50, CHANGZHOU CITY, JIANGSU PROVINCE, P.R.C.",GOULSTON,SNCR,CHINA,SHANG HAI,CHARLESTON,UNITED STATES,CHINA,18,PKG,1.0,18090.0,1005.0,2000*806*800,PORT ALLIANCE LOGISTICS INTERNATION,TCKU1135022,CHARLESTON,SOUTH CAROLINA,NO MARKS,0,FCL,SHANGHAI,TOLL GLOBAL FORWARDING (HONG KONG),TRANSHIPMENT,2,NORTH CAROLINA
2023-12-28,SILICONE OIL,GOULSTON,"700 NORTH JOHNSON STREET MONROE. NC28110, USA TE PHONE704-289-6464","CHANGZHOU JUYOU NEW MATERIAL TECH CO.,LTD.","SHENLONG PLAZA,HUAIDE MIDDLE RD NO.,50, CHANGZHOU CITY, JIANGSU PROVINCE, P.R.C.",GOULSTON,SNCR,CHINA,SHANG HAI,CHARLESTON,UNITED STATES,CHINA,18,PKG,1.0,18090.0,1005.0,2000*806*800,PORT ALLIANCE LOGISTICS INTERNATION,UETU2383533,CHARLESTON,SOUTH CAROLINA,NO MARKS,0,FCL,SHANGHAI,TOLL GLOBAL FORWARDING (HONG KONG),TRANSHIPMENT,2,NORTH CAROLINA
2023-12-28,SILICONE POLYETHER XHG-248 @18 IBC OF 1000KG EACH NCM : 3910.00,CINMAX INTERNATIONAL LLC,"3050 METRO DR, STE 113BLOOMINGTON 3050 METRO DRIVE MINNESOTA",HANGZHOU TOP WIN TECHNOLOGY DEVELOP,"NO.10, FENGHE ROAD, XIAYA TOWNJIANDE CITY, ZHEJIANG PROVINCE, CHI ZHEJIANG",C. H. POWELL COMPANY,SAKQ-SHANGHAI ALL-LINK LOGISTICS CO LTD,CHINA,SHANG HAI,TACOMA,UNITED STATES,CHINA,18,CTN,0.0,18990.0,1055.0,0,CHD LOGISTICS INC.,WNGU2347747,TACOMA,WASHINGTON,NO MARKS,391000,FCL,SHANGHAI,SHANGHAI ALL-LINK LOGISTICS LTD.,TRANSHIPMENT,1,None
